product_category,product_name,product_price,product_price_unit,product_url,image_url
Thực phẩm tươi sống,"Sườn bò có xương đông lạnh, xuất xứ Mỹ","559,000 ₫",/ Ký,https://online.mmvietnam.com/suon-bo-co-xuong-dl-21425486-142548.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/4/142548.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Đuôi bò hầm sả, 500g","136,000 ₫",/ Gói,https://online.mmvietnam.com/duoi-bo-ham-sa-500g-23525207-352520.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/5/352520.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Heo sữa đông lạnh 3.0-3.5kg,"420,000 ₫",/ Ký,https://online.mmvietnam.com/heo-sua-dl-3-0-3-5kg-20301132-30113.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/0/30113_1_1.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,CUA THIT DB (SONG-KDAY) 450GUP,"419,000 ₫",/ Ký,https://online.mmvietnam.com/cua-thit-song-khong-day-450g-tro-len-681887-10-190391.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/9/190391.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Ghẹ xanh sống 200-250g/con,"639,000 ₫",/ Ký,https://online.mmvietnam.com/ghe-xanh-song-200-250-g-con-5-10-16291.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/6/16291.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Bao tử cá tra bè tươi,"100,000 ₫",/ Ký,https://online.mmvietnam.com/bao-tu-ca-tra-be-tu-20251215-25121.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/2/5/25121.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Phi lê cá diêu hồng không da size XO,"210,000 ₫",/ Ký,https://online.mmvietnam.com/ca-d-hong-fillet-kd-21784194-178419.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/7/178419.1.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Khoai môn gọt vỏ Senta, 400g","33,600 ₫",/ Gói,https://online.mmvietnam.com/khoai-mon-got-vo-400-23181816-318181.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/w/y/wysiwyg_b2c_product_image_318181.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Húng cây Tiền Giang, 100g","7,000 ₫",/ Gói,https://online.mmvietnam.com/hung-cay-100g-23530119-353011.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/5/353011.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Hương thảo tây We Are Fresh, gói 50g","19,000 ₫",/ Gói,https://online.mmvietnam.com/huong-thao-tay-we-are-fresh-goi-50g-697058-10-357158.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/5/357158.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
